,Condo,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,New,District
9692,80,30,1,2,1,1,No,No,No,No,Penha
3247,873,82,3,1,0,2,No,No,No,No,Vila Matilde
2674,1554,153,4,2,1,2,No,No,No,No,Mandaqui
10361,700,93,3,2,1,3,No,No,Yes,No,Mandaqui
5352,1500,145,3,2,1,2,No,No,Yes,No,Mooca
1773,478,53,2,2,1,1,No,No,Yes,No,Freguesia do Ó
10708,750,88,3,2,1,2,No,No,Yes,No,Morumbi
2945,140,48,2,1,0,1,Yes,No,No,No,Artur Alvim
1743,500,55,2,2,1,1,No,No,No,No,Cachoeirinha
1637,635,60,2,2,1,1,Yes,No,No,No,Anhanguera
10688,1500,238,4,4,2,3,No,No,Yes,No,Morumbi
1211,500,30,1,2,1,1,Yes,No,Yes,No,Moema
1252,7500,393,4,6,4,6,Yes,No,Yes,No,Morumbi
1010,540,55,2,2,1,1,Yes,No,No,No,Cursino
9357,420,65,3,2,1,1,No,No,No,No,Mandaqui
1627,1000,117,2,4,2,2,No,No,Yes,No,Anhanguera
2461,520,38,1,1,0,0,No,No,No,No,Liberdade
3857,980,32,1,1,0,1,No,Yes,Yes,No,Moema
3072,275,53,2,1,0,1,No,No,No,No,Guaianazes
2302,420,50,2,1,0,1,No,No,No,No,Brás
3005,711,60,2,1,0,1,No,No,No,No,Carrão
2675,1050,85,2,3,2,2,No,Yes,Yes,No,Mandaqui
3967,455,48,1,1,0,1,No,No,No,No,Sacomã
1260,1600,175,4,4,3,3,Yes,Yes,Yes,No,Morumbi
2348,346,53,2,1,0,1,No,No,No,No,Brás
1885,431,89,2,2,1,1,Yes,No,No,No,Lapa
128,415,48,2,2,1,1,No,No,No,No,Cidade Líder
10840,1600,130,4,2,1,2,No,No,Yes,No,Alto de Pinheiros
3938,734,90,2,1,0,1,No,No,No,No,Sacomã
1054,640,63,2,2,1,1,Yes,No,Yes,No,Ipiranga
9263,1400,117,3,3,1,2,Yes,No,Yes,No,Santa Cecília
110,100,35,2,2,1,1,No,No,No,No,Carrão
1257,442,65,3,2,1,2,Yes,Yes,Yes,No,Morumbi
2833,550,53,2,2,1,1,No,Yes,Yes,No,Tucuruvi
1541,150,85,2,2,1,1,No,No,No,No,Vila Mariana
9585,590,52,2,2,1,1,Yes,No,No,No,Aricanduva
2699,600,57,2,1,0,1,No,Yes,Yes,No,Mandaqui
10618,4000,245,4,5,4,3,No,No,Yes,No,Itaim Bibi
10999,800,73,2,1,0,1,No,No,Yes,No,Vila Leopoldina
4544,1277,122,3,2,1,2,No,No,Yes,No,Lapa
2970,416,62,3,1,0,1,No,No,No,No,Belém
3703,360,65,2,1,0,1,No,No,No,No,Jabaquara
1301,0,65,2,2,1,1,No,No,No,No,Pedreira
3334,352,45,1,1,0,1,No,No,No,No,Cambuci
1685,670,105,3,2,1,1,No,No,No,No,Butantã
10318,680,78,2,2,1,1,Yes,Yes,Yes,No,Consolação
3459,424,54,2,1,0,1,No,No,No,No,Campo Grande
10021,579,69,2,2,1,2,No,No,Yes,No,Vila Andrade
1016,0,56,2,2,1,1,Yes,No,No,No,Cursino
1263,2192,210,4,5,4,4,No,No,Yes,No,Morumbi
4893,1310,137,4,2,1,2,No,No,No,No,Vila Leopoldina
2506,341,56,1,1,0,0,No,No,Yes,No,República
