,Condo,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,New,District
2913,700,90,2,1,0,1,No,No,No,No,Aricanduva
4179,2950,160,3,2,1,3,No,No,Yes,No,Vila Mariana
1505,830,53,2,2,1,1,Yes,No,Yes,No,Vila Mariana
10996,1390,124,3,2,1,2,No,No,Yes,No,Vila Leopoldina
10751,1720,176,4,2,1,2,No,Yes,No,No,Santo Amaro
3054,500,62,3,1,0,1,Yes,No,Yes,No,Carrão
5295,1300,111,3,4,2,2,Yes,No,Yes,No,Vila Olimpia
4425,0,62,2,1,0,1,No,No,No,No,Freguesia do Ó
1998,275,46,2,2,1,1,Yes,No,No,No,Pirituba
4841,1600,177,4,3,2,3,No,No,No,No,Vila Leopoldina
2210,340,35,1,2,1,1,No,Yes,Yes,No,Bela Vista
3014,709,59,2,2,1,1,No,No,No,No,Carrão
9447,1846,148,3,4,3,3,No,No,No,No,Tucuruvi
985,0,72,3,2,1,1,No,No,No,No,Cidade Dutra
1069,190,50,1,2,1,1,No,No,No,No,Ipiranga
1755,1600,127,3,4,3,3,Yes,No,Yes,No,Cachoeirinha
2154,750,83,2,2,1,2,Yes,Yes,Yes,No,Barra Funda
4246,642,58,2,2,1,2,No,No,Yes,No,Alto de Pinheiros
10790,455,55,2,1,0,1,No,No,No,No,Vila Mariana
2533,400,41,1,1,0,0,No,No,No,No,República
5340,480,100,2,2,0,1,Yes,No,No,No,Mooca
2440,510,60,2,1,0,1,Yes,No,No,No,Liberdade
4024,1600,180,3,2,1,2,No,Yes,No,No,Saúde
10246,650,83,2,2,1,2,No,No,Yes,No,Barra Funda
3296,250,40,2,2,1,1,No,No,Yes,No,Vila Prudente
10676,1286,107,3,1,0,1,No,No,No,No,Moema
3553,620,85,2,1,0,1,No,No,Yes,No,Ipiranga
9768,3159,234,3,3,1,3,No,No,Yes,No,Tatuapé
2032,0,55,3,2,1,1,No,No,No,No,Raposo Tavares
996,1200,180,3,2,3,2,Yes,No,Yes,No,Cidade Dutra
4117,1610,110,3,4,3,3,No,No,Yes,No,Vila Andrade
5377,670,80,3,3,2,2,Yes,No,No,No,Mooca
4881,810,74,2,1,0,1,No,No,Yes,No,Vila Leopoldina
9581,590,52,2,2,1,1,No,No,No,No,Aricanduva
1698,600,52,2,2,1,1,Yes,Yes,No,No,Butantã
10664,1000,34,1,1,0,1,No,Yes,Yes,No,Moema
3277,580,55,3,1,0,1,Yes,No,Yes,No,Vila Prudente
892,600,62,2,2,1,1,Yes,No,Yes,No,Campo Limpo
5162,1119,51,1,2,1,2,Yes,No,Yes,No,Vila Madalena
9706,382,64,3,2,1,1,No,No,No,No,Ponte Rasa
4126,0,87,3,3,2,2,No,No,Yes,No,Vila Andrade
3098,0,49,2,1,0,0,No,No,No,No,Itaquera
135,0,70,2,2,1,1,No,No,No,No,Cidade Líder
3526,785,64,3,1,0,1,No,No,No,No,Ipiranga
384,330,65,2,2,1,1,No,No,No,No,Ponte Rasa
4137,4901,336,4,5,4,5,No,No,Yes,No,Vila Andrade
2929,200,48,2,2,1,1,No,No,No,No,Artur Alvim
5403,0,60,2,2,1,1,No,No,Yes,No,Brooklin
4692,780,65,2,2,1,2,Yes,No,Yes,No,Pinheiros
2706,150,79,2,2,1,1,Yes,No,No,No,Mandaqui
2938,230,50,2,1,0,1,No,No,No,No,Artur Alvim
3431,3500,252,4,5,4,5,No,No,No,No,Campo Belo
3194,580,68,2,2,1,1,No,No,Yes,No,Tatuapé
108,546,61,2,2,1,1,No,No,Yes,No,Carrão
1318,483,60,2,2,1,1,No,No,No,No,Sacomã
576,550,62,2,2,1,1,No,No,No,No,Vila Curuçá
4399,513,60,2,1,0,1,No,No,Yes,No,Freguesia do Ó
1298,3500,390,4,5,4,1,No,No,Yes,No,Pedreira
4401,370,70,3,2,1,1,No,No,Yes,No,Freguesia do Ó
4175,650,70,2,1,0,0,No,No,No,No,Vila Mariana
1969,0,38,1,2,1,1,Yes,Yes,Yes,No,Pinheiros
5357,10,50,2,1,0,1,No,No,Yes,No,Mooca
320,140,52,2,2,1,1,No,No,No,No,José Bonifácio
3910,1500,238,4,4,2,3,No,No,Yes,No,Morumbi
10256,520,58,2,1,0,1,No,No,No,No,Barra Funda
5361,1200,156,4,4,2,1,Yes,No,Yes,No,Mooca
2216,400,49,1,2,1,1,No,Yes,Yes,No,Bela Vista
4059,960,134,3,4,3,4,No,No,Yes,No,Saúde
9732,328,47,2,2,1,1,Yes,No,Yes,No,São Mateus
1061,1800,170,4,5,3,3,Yes,No,Yes,No,Ipiranga
3777,1203,37,1,2,1,1,No,Yes,Yes,No,Jardim Paulista
9751,1700,105,3,3,1,2,Yes,No,Yes,No,Tatuapé
10573,1150,120,3,2,1,2,No,Yes,Yes,No,Campo Grande
10355,420,49,1,1,0,1,No,Yes,Yes,No,Casa Verde
4714,4200,280,4,5,4,5,No,No,Yes,No,Pinheiros
10879,955,100,3,2,1,3,No,Yes,Yes,No,Freguesia do Ó
4487,300,48,2,1,0,1,No,No,No,No,Jaraguá
3688,750,67,3,2,0,1,No,No,Yes,No,Jabaquara
4826,0,64,3,2,1,1,No,No,Yes,No,Rio Pequeno
9816,672,80,2,2,1,1,No,No,No,No,Cambuci
1567,691,80,3,2,1,1,No,No,No,No,Vila Sônia
3432,2106,150,3,2,1,2,No,No,Yes,No,Campo Belo
646,0,48,2,2,1,1,No,No,Yes,No,Vila Jacuí
9595,330,45,2,2,1,1,No,No,No,No,Aricanduva
2921,400,50,2,1,0,1,No,No,Yes,No,Aricanduva
2636,456,49,1,1,0,1,No,Yes,Yes,No,Casa Verde
3152,100,74,2,1,0,1,No,No,No,No,Sapopemba
9872,836,64,2,2,1,1,No,No,No,No,Cidade Ademar
3433,1070,80,3,2,1,2,No,No,No,No,Campo Belo
2379,600,75,1,1,0,0,No,No,No,No,Consolação
9160,675,42,1,2,1,1,Yes,No,Yes,No,Consolação
4341,450,68,3,2,1,1,No,Yes,Yes,No,Butantã
1986,1003,89,2,2,1,1,No,No,No,No,Pinheiros
5322,435,50,1,1,0,1,Yes,No,No,No,Mooca
9485,600,70,3,2,1,2,No,No,Yes,No,Vila Maria
10914,450,65,2,1,0,0,No,No,No,No,Limão
9303,304,55,2,2,1,1,No,No,No,No,Casa Verde
668,0,68,3,2,1,2,No,No,No,No,Vila Matilde
4314,669,56,2,1,0,1,No,No,No,No,Butantã
9478,600,96,3,3,1,2,No,No,No,No,Vila Guilherme
1721,277,48,2,2,1,1,Yes,No,Yes,No,Cachoeirinha
2592,380,80,2,1,0,0,Yes,No,No,No,Sé
1475,800,87,2,2,1,2,Yes,No,Yes,No,Vila Andrade
3732,6100,349,4,5,4,5,No,No,Yes,No,Jardim Paulista
2564,480,64,1,1,0,0,No,Yes,No,No,Santa Cecília
3891,2997,282,4,5,4,4,No,No,Yes,No,Morumbi
4770,1247,131,3,2,1,2,No,Yes,Yes,No,Pirituba
10675,1300,38,1,1,0,1,No,Yes,Yes,No,Moema
2574,2940,194,4,2,1,3,No,No,No,No,Santa Cecília
2044,350,70,2,2,1,1,No,No,No,No,Rio Pequeno
5165,3500,280,4,6,4,4,No,No,Yes,No,Vila Madalena
3805,2100,180,4,2,1,3,No,No,Yes,No,Moema
2106,1250,148,3,4,3,2,Yes,No,Yes,No,Vila Leopoldina
2689,1000,100,3,1,0,1,No,No,Yes,No,Mandaqui
2729,1000,96,3,2,1,2,Yes,No,No,No,Santana
4834,1500,151,3,3,2,3,Yes,No,Yes,No,Vila Leopoldina
1813,646,74,3,2,1,2,No,No,Yes,No,Jaguaré
1485,1420,137,3,3,1,1,Yes,Yes,Yes,No,Vila Mariana
3669,275,44,1,1,0,1,No,No,No,No,Jabaquara
2071,484,55,2,2,1,1,No,No,No,No,Rio Pequeno
4252,1831,124,1,2,1,2,No,No,No,No,Alto de Pinheiros
9885,1800,170,4,5,3,3,Yes,No,Yes,No,Ipiranga
9488,292,62,2,2,1,1,No,No,Yes,No,Vila Maria
2351,380,33,1,1,0,1,No,No,No,No,Brás
1115,300,60,2,2,1,1,No,No,No,No,Jabaquara
1049,640,70,3,2,1,1,No,No,Yes,No,Ipiranga
2790,450,63,2,1,0,1,No,No,No,No,Tucuruvi
2829,400,53,2,1,0,1,No,No,Yes,No,Tucuruvi
2118,500,51,1,1,0,1,No,No,Yes,No,Barra Funda
4746,1050,150,3,2,1,2,No,No,Yes,No,Pinheiros
4641,1080,70,2,3,2,2,No,No,Yes,No,Perdizes
522,1180,126,3,2,1,3,No,No,Yes,No,Tatuapé
2108,700,86,3,2,1,2,No,No,No,No,Vila Leopoldina
3535,0,213,4,3,2,3,No,No,Yes,No,Ipiranga
10248,485,50,2,2,1,1,No,No,Yes,No,Barra Funda
3709,685,60,3,1,0,2,No,No,No,No,Jabaquara
11134,1014,70,3,2,1,1,No,No,No,No,Mooca
4160,650,50,1,1,0,1,No,No,No,No,Vila Mariana
5367,1600,150,3,2,1,1,No,No,No,No,Mooca
246,0,48,2,2,1,1,No,No,No,No,Itaim Paulista
10681,770,75,2,1,0,1,No,No,No,No,Moema
9902,0,70,1,2,1,1,Yes,Yes,Yes,No,Itaim Bibi
2892,750,87,3,2,1,2,No,Yes,Yes,No,Água Rasa
4149,1420,137,3,2,1,1,No,No,Yes,No,Vila Mariana
2891,607,68,3,2,1,2,No,Yes,Yes,No,Água Rasa
10739,1316,160,3,3,2,2,No,No,Yes,No,Santo Amaro
1295,4509,400,4,5,4,3,No,No,Yes,No,Pedreira
4839,1363,187,3,4,3,3,No,No,Yes,No,Vila Leopoldina
4773,1400,131,3,2,1,2,No,No,No,No,Pirituba
10235,1100,130,3,3,1,2,Yes,Yes,Yes,No,Vila Leopoldina
9664,1383,140,3,2,1,1,No,No,Yes,No,Iguatemi
10279,630,34,1,1,0,1,No,No,No,No,Bela Vista
3426,1293,162,3,4,3,2,No,No,Yes,No,Campo Belo
4041,715,60,2,2,1,1,No,No,Yes,No,Saúde
10528,830,63,2,2,1,1,No,Yes,Yes,No,Campo Belo
9935,1920,178,3,5,3,2,No,No,Yes,No,Jardim Paulista
10743,1500,186,4,3,2,2,No,No,Yes,No,Santo Amaro
514,320,50,1,2,1,1,Yes,No,No,No,São Rafael
1678,393,50,2,2,1,1,No,No,No,No,Brasilândia
1011,500,60,2,2,1,1,Yes,No,Yes,No,Cursino
9818,400,32,1,2,1,1,Yes,No,No,No,Cambuci
2933,340,47,2,1,0,1,No,No,No,No,Artur Alvim
4033,490,35,1,1,0,1,No,No,Yes,No,Saúde
2088,1106,158,3,4,3,2,Yes,No,Yes,No,Vila Leopoldina
3403,530,43,1,2,1,1,No,No,Yes,No,Campo Belo
406,510,57,2,2,1,1,No,No,No,No,Sapopemba
10378,650,150,4,4,3,4,No,No,Yes,No,Tremembé
2080,1200,143,2,3,2,2,Yes,No,Yes,No,Vila Leopoldina
2958,500,58,2,1,0,1,No,No,No,No,Belém
1878,750,65,2,2,1,1,No,No,No,No,Lapa
2846,714,50,2,1,0,0,No,No,No,No,Vila Guilherme
5282,750,65,2,2,1,1,No,Yes,Yes,No,Vila Olimpia
1184,892,35,1,2,1,1,Yes,Yes,Yes,No,Jardim Paulista
4237,3800,232,3,4,3,3,No,Yes,No,No,Alto de Pinheiros
4458,1550,98,3,2,1,3,No,Yes,Yes,No,Jaguaré
9111,383,75,2,2,1,1,Yes,No,No,No,Bom Retiro
630,0,50,2,2,1,1,No,No,Yes,No,Vila Jacuí
3042,1325,127,4,4,3,2,No,No,Yes,No,Carrão
4536,500,65,2,2,1,2,Yes,Yes,Yes,No,Lapa
4316,0,62,2,1,0,1,No,No,No,No,Butantã
3140,570,66,3,2,1,1,No,No,Yes,No,Penha
3587,4900,292,4,1,0,5,No,Yes,Yes,No,Itaim Bibi
633,340,50,2,2,1,1,No,No,No,No,Vila Jacuí
1458,532,66,3,2,1,2,No,No,Yes,No,Vila Andrade
3662,439,67,2,1,0,1,No,No,No,No,Jabaquara
4815,200,47,2,1,0,1,No,No,No,No,Rio Pequeno
921,500,95,3,2,1,1,No,No,No,No,Capão Redondo
1931,860,72,2,3,1,2,Yes,Yes,Yes,No,Perdizes
3746,2900,170,3,2,1,1,No,No,Yes,No,Jardim Paulista
37,300,66,2,2,1,1,Yes,No,No,No,Belém
3474,790,75,3,2,1,2,No,Yes,Yes,No,Campo Grande
5381,800,69,3,2,1,1,No,No,Yes,No,Mooca
4422,1250,136,3,2,1,3,No,No,No,No,Freguesia do Ó
1304,455,70,1,2,1,1,Yes,No,No,No,Sacomã
11195,2100,172,3,4,3,3,Yes,No,Yes,No,Brooklin
4135,765,79,2,2,1,2,No,No,Yes,No,Vila Andrade
4783,0,54,2,1,0,0,No,No,No,No,Pirituba
9797,437,52,2,2,1,1,Yes,No,No,No,Vila Matilde
1765,620,64,3,2,1,1,No,No,No,No,Freguesia do Ó
4457,436,65,2,1,0,1,No,No,No,No,Jaguaré
3538,535,82,2,1,0,2,No,No,No,No,Ipiranga
913,300,42,2,2,1,1,No,No,No,No,Capão Redondo
720,770,53,2,2,1,1,No,No,Yes,No,Cambuci
122,0,50,1,2,1,1,No,No,No,No,Cidade Líder
4034,687,84,3,2,1,2,No,No,Yes,No,Saúde
1853,700,97,2,4,2,2,No,No,Yes,No,Jaraguá
10922,782,90,3,2,1,1,No,No,No,No,Perdizes
4609,420,49,2,1,0,1,No,Yes,No,No,Limão
4818,200,50,2,1,0,1,No,Yes,No,No,Rio Pequeno
3439,1000,132,3,2,1,3,No,No,Yes,No,Campo Grande
9439,1160,83,3,2,1,2,Yes,No,Yes,No,Tucuruvi
545,0,53,3,2,1,1,Yes,No,No,No,Tatuapé
4757,600,61,3,2,1,1,No,No,No,No,Pirituba
10379,700,85,3,2,1,1,No,No,No,No,Tremembé
1673,398,50,2,2,1,1,Yes,No,No,No,Brasilândia
10610,500,48,1,2,1,1,No,Yes,Yes,No,Itaim Bibi
2311,360,55,2,1,0,1,No,No,Yes,No,Brás
4443,462,60,2,1,0,1,No,No,No,No,Jaguaré
2836,700,69,2,1,0,1,No,No,No,No,Vila Guilherme
1047,679,69,3,2,1,1,Yes,No,No,No,Ipiranga
1902,395,73,2,2,1,1,No,No,No,No,Limão
10611,2500,203,3,4,3,3,Yes,No,No,No,Itaim Bibi
4599,420,35,1,1,0,1,Yes,No,Yes,Yes,Limão
890,325,46,2,2,1,1,Yes,No,No,No,Campo Limpo
10934,520,58,2,1,0,1,No,No,Yes,No,Perdizes
1709,400,60,2,2,1,1,Yes,No,Yes,No,Butantã
3132,570,56,2,1,0,2,No,No,Yes,No,Penha
118,360,66,3,2,1,1,Yes,No,Yes,No,Cidade Líder
3786,1050,95,2,2,1,2,No,No,No,No,Moema
2895,800,77,3,2,1,2,No,No,Yes,No,Água Rasa
10208,550,55,2,2,1,1,Yes,No,No,No,Raposo Tavares
1708,550,70,2,2,1,1,No,No,Yes,No,Butantã
10030,905,82,3,2,1,2,Yes,No,Yes,No,Vila Andrade
3895,2600,261,3,4,3,4,No,No,Yes,No,Morumbi
471,400,48,2,2,1,1,No,No,No,No,São Mateus
4581,390,50,2,1,0,1,No,No,No,No,Limão
10786,615,67,2,2,1,1,No,No,Yes,No,Vila Andrade
9418,1350,50,2,2,1,1,Yes,No,No,No,Tremembé
1349,586,60,2,2,1,1,No,No,Yes,No,Santo Amaro
3378,530,56,1,1,0,1,No,Yes,No,No,Cambuci
984,1520,180,3,5,3,2,Yes,No,Yes,No,Cidade Dutra
10565,503,64,3,1,0,1,No,Yes,No,No,Campo Grande
1410,680,72,3,2,1,1,Yes,No,No,No,Socorro
5155,3196,206,3,4,3,3,Yes,No,Yes,No,Vila Madalena
9249,520,39,1,2,1,1,Yes,Yes,Yes,No,República
1276,717,51,1,2,1,1,Yes,Yes,Yes,No,Morumbi
10224,375,69,3,2,1,1,No,No,No,No,Rio Pequeno
10849,728,53,2,1,0,1,No,No,No,No,Butantã
4479,501,70,3,1,0,1,No,No,No,No,Jaguaré
9890,780,60,2,2,1,1,Yes,No,Yes,No,Ipiranga
3007,585,57,2,1,0,1,No,No,Yes,No,Carrão
1309,440,90,3,2,1,1,Yes,No,No,No,Sacomã
775,0,32,1,2,1,1,No,No,No,No,Cambuci
3992,1050,100,2,2,1,2,No,No,Yes,No,Santo Amaro
1480,656,55,2,2,1,1,Yes,No,No,No,Vila Mariana
9090,490,55,2,2,1,1,Yes,No,No,No,Bela Vista
5380,652,81,2,1,0,1,Yes,No,No,No,Mooca
1313,443,85,2,2,1,1,No,No,Yes,No,Sacomã
10085,500,58,2,2,1,1,Yes,Yes,No,No,Anhanguera
3379,1900,222,2,3,2,4,No,Yes,Yes,No,Campo Belo
3598,2175,98,2,3,2,2,No,No,Yes,No,Itaim Bibi
2204,1199,170,2,2,1,1,No,No,No,No,Bela Vista
3728,1850,250,3,3,2,2,No,No,No,No,Jardim Paulista
9600,0,47,2,2,1,1,No,No,No,No,Artur Alvim
4816,580,60,2,1,0,1,No,No,No,No,Rio Pequeno
569,510,105,2,2,1,1,Yes,No,No,No,Vila Curuçá
3779,500,70,3,2,1,1,No,No,No,No,Jardim São Luis
1509,2300,157,3,4,3,3,No,No,No,No,Vila Mariana
22,743,63,2,2,1,1,No,No,Yes,No,Belém
3888,698,55,1,2,1,1,No,No,Yes,No,Morumbi
2849,0,175,3,4,3,3,Yes,No,Yes,No,Vila Guilherme
9774,210,48,2,2,1,1,Yes,Yes,No,No,Vila Curuçá
10207,0,49,2,2,1,1,No,No,No,No,Raposo Tavares
10280,493,68,1,1,0,1,No,No,No,No,Bela Vista
4681,1051,62,1,1,0,2,No,Yes,Yes,No,Pinheiros
1406,790,74,3,2,1,1,Yes,No,No,No,Saúde
1491,902,107,2,2,1,1,Yes,No,No,No,Vila Mariana
9879,450,57,2,2,1,1,Yes,No,Yes,No,Ipiranga
10567,640,76,3,1,0,1,No,No,No,No,Campo Grande
9486,850,73,2,2,1,1,No,No,No,No,Vila Maria
1658,450,48,2,2,1,1,No,No,No,No,Brasilândia
10045,800,68,2,2,1,1,No,No,No,No,Vila Mariana
3871,890,64,2,2,1,2,No,No,Yes,No,Morumbi
856,1200,134,3,5,3,2,Yes,No,No,No,Campo Grande
4216,0,72,3,2,1,2,No,No,Yes,No,Vila Sônia
11202,589,41,1,1,0,1,No,Yes,Yes,No,Brooklin
10458,100,30,2,1,0,1,No,No,No,No,São Miguel
5164,0,240,3,5,3,3,No,No,Yes,No,Vila Madalena
3320,1200,122,3,2,1,3,Yes,No,Yes,No,Vila Prudente
10222,1550,234,5,5,4,3,No,No,No,No,Rio Pequeno
11194,980,52,2,1,0,1,No,Yes,Yes,No,Brooklin
2374,2250,180,2,2,1,1,No,No,No,No,Consolação
2300,140,100,2,2,0,1,No,No,No,No,Brás
10658,1400,122,4,2,1,1,No,No,No,No,Jardim Paulista
3167,550,65,3,2,1,1,No,No,Yes,No,São Lucas
4258,3000,223,3,2,1,2,No,No,No,No,Alto de Pinheiros
581,380,57,2,2,1,1,Yes,No,No,No,Vila Formosa
2490,538,55,1,1,0,1,No,No,No,No,Liberdade
10507,742,81,2,2,1,2,Yes,No,No,No,Cambuci
2848,520,63,3,2,1,2,No,No,Yes,No,Vila Guilherme
2215,750,48,1,1,0,1,No,Yes,Yes,No,Bela Vista
10296,0,44,1,1,0,0,No,No,No,No,Brás
844,1500,135,4,4,1,3,Yes,No,No,No,Campo Grande
9920,710,64,3,2,1,1,Yes,No,Yes,No,Jabaquara
3631,2100,210,3,2,1,3,No,No,Yes,No,Itaim Bibi
9200,607,47,1,2,1,1,Yes,No,No,No,Liberdade
10192,850,42,1,2,1,1,No,Yes,Yes,No,Pinheiros
468,380,48,2,2,1,1,No,No,No,No,São Mateus
1444,1090,120,3,2,1,2,Yes,Yes,Yes,No,Vila Andrade
3555,470,37,1,1,0,1,No,No,No,No,Ipiranga
9720,400,56,2,2,1,1,Yes,No,No,No,São Lucas
2936,240,53,2,1,0,1,No,No,No,No,Artur Alvim
1839,0,240,3,3,1,1,No,No,No,No,Jaraguá
365,453,63,3,2,1,1,No,No,Yes,No,Penha
10882,824,68,3,2,1,1,No,Yes,Yes,No,Freguesia do Ó
9411,610,72,2,2,1,1,No,No,Yes,No,Tremembé
10555,500,64,3,1,0,2,No,No,No,No,Campo Grande
3213,390,50,2,1,0,1,No,No,Yes,No,Tatuapé
1683,472,58,2,2,1,1,No,No,Yes,No,Brasilândia
3595,750,36,1,2,1,1,No,Yes,Yes,No,Itaim Bibi
2472,437,50,1,1,0,0,No,No,No,No,Liberdade
4121,1200,110,3,2,1,2,No,Yes,Yes,No,Vila Andrade
2629,400,42,2,1,0,1,No,No,No,No,Casa Verde
11148,985,105,2,3,2,2,No,No,Yes,No,Brooklin
10547,580,68,3,1,0,1,No,No,No,No,Campo Grande
850,750,73,3,2,1,2,No,No,Yes,No,Campo Grande
1089,750,36,1,2,1,1,No,Yes,Yes,No,Itaim Bibi
3481,420,53,1,2,1,1,No,No,No,No,Campo Limpo
10233,1106,158,3,4,3,2,Yes,No,Yes,No,Vila Leopoldina
10317,575,41,1,1,0,1,No,No,Yes,No,Consolação
3616,1696,110,3,4,3,2,No,No,Yes,No,Itaim Bibi
1279,1561,130,4,3,1,2,No,No,Yes,No,Morumbi
2239,780,56,1,2,1,1,No,No,Yes,No,Bela Vista
11175,690,50,2,2,1,1,No,No,Yes,No,Mooca
9529,650,75,3,2,1,2,Yes,No,Yes,No,Medeiros
5181,1830,204,4,4,3,4,No,Yes,Yes,No,Mooca
3380,0,35,1,2,1,1,No,Yes,Yes,No,Campo Belo
4801,580,54,2,1,0,1,Yes,No,No,No,Pirituba
616,340,50,2,2,1,1,Yes,No,Yes,No,Vila Jacuí
3343,280,39,1,1,0,0,No,No,No,No,Cambuci
10558,890,95,2,2,1,2,No,No,Yes,No,Campo Grande
3735,1216,180,3,2,1,2,No,No,No,No,Jardim Paulista
2013,550,55,2,2,1,1,No,No,No,No,Pirituba
10940,991,110,2,2,1,2,No,No,No,No,Perdizes
3028,1300,127,3,4,3,2,No,Yes,Yes,No,Carrão
10593,410,57,2,2,1,1,No,No,Yes,No,Ipiranga
10661,980,70,2,3,2,1,No,Yes,Yes,No,Moema
10538,1995,129,3,2,1,3,No,No,Yes,No,Campo Belo
2357,385,52,2,2,1,1,No,No,Yes,No,Brás
10606,830,40,1,1,0,1,No,No,Yes,No,Itaim Bibi
3663,270,44,1,1,0,1,No,No,No,No,Jabaquara
1274,1074,71,2,3,2,2,Yes,Yes,Yes,No,Morumbi
9515,1826,165,4,5,2,4,No,No,Yes,No,Medeiros
1951,1078,104,3,2,1,2,Yes,No,No,No,Perdizes
4379,399,76,3,2,1,1,No,No,Yes,No,Cachoeirinha
1753,430,65,3,2,1,1,No,No,No,No,Cachoeirinha
1499,2000,222,4,4,3,4,No,Yes,Yes,No,Vila Mariana
1761,892,69,3,2,1,1,No,No,Yes,No,Freguesia do Ó
9679,150,49,2,2,1,1,Yes,No,Yes,No,Itaim Paulista
3472,800,84,3,2,1,1,No,No,No,No,Campo Grande
5338,0,60,1,1,0,1,No,No,No,No,Mooca
1649,628,55,2,2,1,1,Yes,Yes,No,No,Anhanguera
3838,2700,194,4,3,2,5,No,No,Yes,No,Moema
4021,0,130,3,4,3,3,No,No,Yes,No,Saúde
9725,279,56,2,2,1,1,No,No,No,No,São Lucas
1265,350,49,2,2,1,1,Yes,No,No,No,Morumbi
10158,484,47,2,2,1,1,Yes,No,Yes,No,Limão
1636,580,60,2,2,1,1,Yes,Yes,Yes,No,Anhanguera
4064,710,113,4,2,1,2,Yes,No,Yes,No,Saúde
9886,850,127,3,4,3,2,Yes,Yes,Yes,No,Ipiranga
10865,800,75,3,1,0,2,No,No,Yes,No,Butantã
10719,1980,200,4,3,2,3,No,No,No,No,Morumbi
4312,370,49,2,1,0,1,No,No,No,No,Butantã
9909,400,35,1,2,1,1,Yes,No,Yes,No,Jabaquara
4120,400,57,2,2,1,1,No,No,Yes,No,Vila Andrade
230,0,223,3,2,1,1,No,No,No,No,Iguatemi
1389,500,62,2,2,1,1,Yes,No,No,No,Saúde
10998,4500,246,3,4,3,3,Yes,No,Yes,No,Vila Leopoldina
4233,402,66,3,1,0,1,Yes,No,No,No,Alto de Pinheiros
4713,1300,106,2,1,0,1,No,No,No,No,Pinheiros
3046,139,35,1,1,0,0,No,No,No,No,Carrão
9312,456,49,1,2,1,1,Yes,Yes,Yes,No,Casa Verde
1470,750,133,3,4,3,2,Yes,No,Yes,No,Vila Andrade
10096,470,62,3,2,1,1,Yes,No,Yes,No,Butantã
10776,470,45,1,2,1,1,No,No,No,No,Saúde
1665,511,50,2,2,1,1,No,No,No,No,Brasilândia
9750,450,110,2,2,1,1,Yes,No,No,No,São Rafael
10892,485,55,2,1,0,1,No,No,No,No,Jaguaré
760,240,70,2,2,1,1,Yes,No,No,No,Cambuci
10147,2190,208,3,5,3,3,No,No,No,No,Lapa
3357,857,68,2,1,0,1,No,No,No,No,Cambuci
3079,0,47,2,1,0,0,No,No,No,No,Itaquera
2388,0,265,4,2,1,1,No,No,No,No,Consolação
204,0,70,2,2,1,1,No,No,No,No,Ermelino Matarazzo
3634,1200,100,2,2,1,1,No,No,Yes,No,Itaim Bibi
4654,950,42,1,2,1,1,Yes,No,No,No,Perdizes
9461,660,63,2,2,1,1,No,No,Yes,No,Vila Guilherme
1368,1076,115,3,3,1,2,Yes,Yes,Yes,No,Santo Amaro
3645,2019,42,1,1,0,1,No,No,No,No,Itaim Bibi
955,600,60,3,2,1,1,Yes,Yes,No,No,Cidade Ademar
1489,430,40,1,2,1,1,No,No,No,No,Vila Mariana
4578,420,35,1,1,0,1,No,No,Yes,No,Limão
10788,1990,160,3,4,3,3,No,No,Yes,No,Vila Andrade
1852,835,132,3,2,1,1,Yes,No,No,No,Jaraguá
4898,1500,172,4,3,2,3,No,No,No,No,Vila Leopoldina
2740,477,44,1,1,0,1,No,Yes,Yes,No,Santana
10985,0,56,1,2,1,1,No,No,No,No,Rio Pequeno
648,178,50,2,2,1,1,No,No,No,No,Vila Jacuí
10651,2400,207,3,2,1,2,No,No,No,No,Jardim Paulista
995,1378,180,4,6,3,2,No,No,Yes,No,Cidade Dutra
9772,0,35,1,2,1,1,Yes,Yes,Yes,No,Tatuapé
2720,600,42,1,2,1,2,Yes,Yes,Yes,Yes,Santana
366,500,50,2,2,1,2,Yes,No,Yes,No,Penha
1972,680,65,2,2,1,1,Yes,No,Yes,No,Pinheiros
4429,0,76,2,2,1,1,No,No,Yes,No,Freguesia do Ó
1118,567,45,1,2,1,1,Yes,No,Yes,No,Jabaquara
2942,0,56,2,1,0,1,No,No,No,No,Artur Alvim
9987,520,71,2,2,1,1,Yes,No,No,No,Sacomã
1432,1200,134,3,5,3,2,No,No,Yes,No,Socorro
5417,500,38,1,1,0,1,No,No,Yes,No,Brooklin
1240,3800,335,3,5,3,4,Yes,Yes,Yes,No,Moema
2718,500,44,1,1,0,1,No,Yes,Yes,No,Santana
9782,400,50,2,2,1,1,Yes,No,Yes,No,Vila Formosa
4744,2050,250,4,3,2,2,No,No,No,No,Pinheiros
3862,430,40,1,1,0,1,No,No,No,No,Moema
9637,510,64,2,2,1,1,Yes,No,No,No,Carrão
9694,352,100,2,2,1,1,No,No,No,No,Penha
3994,650,66,2,2,1,2,No,Yes,Yes,No,Santo Amaro
1803,559,40,2,2,1,1,No,No,No,No,Jaguaré
9279,2202,191,3,3,1,1,No,No,No,No,Santa Cecília
2832,665,66,2,2,1,1,No,No,Yes,No,Tucuruvi
9187,497,50,1,2,1,1,Yes,No,No,No,Liberdade
3065,400,68,3,2,1,1,No,No,No,No,Cidade Líder
3407,4251,270,4,5,4,4,No,No,Yes,No,Campo Belo
